title,category,description
Georgia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Germany,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Greece,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Hungary,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Ireland,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Italy,for,"<p> Responses to drug related problems require proportionality, and use of alternatives to conviction and punishment. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Latvia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Lithuania,for,"<p> We stand firmly against death penalty and believe in proportional sentencing.  </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Luxembourg,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Malta,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Moldova,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Netherlands,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Macedonia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Norway,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Poland,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Portugal,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Romania,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
San Marino,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Slovakia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Slovenia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Spain,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Sweden,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We need to guarantee that drugs policies respect human rights, as well as alternative measures to coercive sanctions.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Thailand,for,<p> Alternatives to punishment have also been applied by the Court for a minor drug related offence. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Tunisia,for,"<p> Recently, reforms led to higher discretion for judges in consumption cases to avoid imprisonment for first time offenders, which we see as positive; and also to enhance treatment. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
