title,category,description
Finland,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
France,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Georgia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Germany,for,"<p> We need to recognise addiction as the disease that it is – people who suffer from addiction need harm reduction and treatment. The sooner we support these people the smaller the negative consequences for these people. These must be evidence and human rights-based. Through harm reduction it may be possible to stabilise drug users in relation to their health, preventing them from marginalisation and stigmatisation.  </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Greece,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Hungary,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
India,for,"<p> India has a harm reduction programme, where people who inject drugs receive OST, needle syringe programmes and testing of blood-borne viral infections. </p><a href='http://cndblog.org/2020/03/plenary-item-6-follow-up-to-the-implementation-at-the-national-regional-and-international-levels-of-all-commitments-as-reflected-in-the-ministerial-declaration-of-2019-to-address-and-counter-the-2/'>Statement in context</a>"
Indonesia,for,"<p>We continue to implement harm reduction strategies. Our strategy ranges from education, to better care programmes – by implementing we are confident that we can achieve the objective to reduce drug abuse and to promote the health and well being of all individuals and communities.</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Iran,for,<p> While believing the role of NGO and private sector does benefit the implementation of harm reduction projects. In 2109 more than 1.6million individuals received social support and access to harm reduction services. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Ireland,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Italy,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Kenya,for,"<p> We have adopted medically assisted therapy, harm reduction programmes and other programmes which prevent transmission risks of HIV and blood-borne diseases. </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a"
Latvia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Lithuania,for,"<p> Equal support for supply reduction, demand reduction and harm reduction. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Luxembourg,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Malta,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Mauritius,for,"<p> Striking the right balance between supply reduction measures on one hand, and demand reduction solutions, including harm reduction on the other is a policy adopted by Mauritius; a range of demand and harm reduction measures have been put in place. </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>"
Moldova,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Netherlands,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
New Zealand,for,<p> We need a balanced approach and harness effectiveness of a health approach to achieve harm reduction and national security. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Macedonia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Norway,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Poland,for,"<p> Reliable data also provides grounds for evidence-based intervention, prevention and harm reduction measures which translate into the development of risk and protective factors for the widest group of citizens possible. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Portugal,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Romania,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
San Marino,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Serbia,for,<p> The drug legislative framework and creating quality standards for harm reduction and rehabilitation is central. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Singapore,for,"<p> With regard to harm reduction, Singapore adopts an evidence-based approach to rehabilitate drug abusers. It’s based on responsibility model, including psychology based interventions to target addiction misuse. </p><a href='http://cndblog.org/2020/03/plenary-item-5-implementation-of-the-international-drug-control-treaties/'>Statement in context</a>"
Slovakia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Slovenia,for,"<p> Our emphasis has been on public health, including harm reduction and substitution treatment. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Spain,for,"<p>The response organised by Spanish society and government made it possible to plan and implemented comprehensive solutions based on professional services including risk and harm reduction, and we continue to be a pioneer in this – as internationally acknowledged – to employ significant preventive care and social action.</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Sweden,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Tanzania,for,"<p> With respect to harm reduction interventions we have rolled out education programmes, NSPs, rehabilitation programmes, recovery homes </p><a href='http://cndblog.org/2020/03/plenary-item-6-follow-up-to-the-implementation-at-the-national-regional-and-international-levels-of-all-commitments-as-reflected-in-the-ministerial-declaration-of-2019-to-address-and-counter-the-3/'>Statement in context</a>"
Thailand,for,<p> The health-based drug policy has been adopted in Thailand since 2017 by applying harm reduction approach as a part of the demand reduction measures. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Uganda,for,"<p> We have national guidelines for therapy for people who use drugs, and harm reduction, we have the narcotics drugs act, and are setting up treatment centres for therapy in different health centres. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
