title,category,description
Ireland,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Italy,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Jamaica,for,"<p> Believes that peace, health, dignity and security are core to the SDGs. The world drug problem presents a threat and barrier to leaving no one behind. In 2016, member states acknowledged the effort to SDGs is mutually reinforcing. Illicit trafficking causes suffering to the poorest and most vulnerable. Communities begin to be ravaged by crime which remains a threat to SDGs on peace and justice. As the use of substances exist, peace and health will remain an aspiration. </p><a href='http://cndblog.org/2020/03/plenary-item-9-contributions-by-the-commission-to-the-work-of-the-economic-and-social-council-in-line-with-general-assembly-resolution-72305-including-follow-up-to-and-review-and-implementation-o/'>Statement in context</a>"
Kenya,for,"<p> Manufacture, trafficking and abuse of drugs threatens the commitments of the SDGs, protecting the planet and ensuring that all people who abuse drugs enjoy peace and prosperity by 2030. </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>"
Latvia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Lithuania,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Luxembourg,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Malta,for,"<p> Challenges require adequate and effective response with coordination at a multisectoral level, internationally too and with the cooperation of academia and civil society to design strategies in line with broader strategies on SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Mexico,for,"<p> It is imperative for Mexico to achieve a true balance in the implementation of drug policies, based on the fact that attention to the structural causes of the drug phenomenon and the adaptation to new realities and dynamics from the field represent the path to continue to achieve better results at the national, regional and international levels, and also contribute to achieving the Sustainable Development Goals of the 2030 Agenda of the United Nations. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Netherlands,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Norway,for,<p> Our sustainable goals of 2015 are a better and more sustainable future for all. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Pakistan,for,"<p> In the 2019 Ministerial Declaration, member states have reiterated the importance of accelerating the achievements of the SDGs and the links between the 2030 agenda and drug control. CND needs to render its important contribution to ECOSOC with a view to achieve the relevant SDGS. </p><a href='http://cndblog.org/2020/03/plenary-item-9-contributions-by-the-commission-to-the-work-of-the-economic-and-social-council-in-line-with-general-assembly-resolution-72305-including-follow-up-to-and-review-and-implementation-o/'>Statement in context</a>"
Poland,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Portugal,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Qatar,for,<p> Achieving the SDGs and drug control are complimentary efforts. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Romania,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Slovakia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Slovenia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Spain,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Sweden,for,"<p> Sweden is a committed supporter of the 23rd agenda and a firm believer that combating the world drug problem will help us reach our sustainability goals.  </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Switzerland,for,"<p> The UN Common Position: we urge UNODC to implement this because the multiple facets of the drug problem require a balanced, comprehensive, science and human rights-based response as part of the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Thailand,for,<p> the importance of the inclusive and sustainable development-oriented approach in addressing the drug problem. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
United States,against,<p> The CND is not subservient to the SDGs. </p><a href='http://cndblog.org/2020/03/plenary-item-9-contributions-by-the-commission-to-the-work-of-the-economic-and-social-council-in-line-with-general-assembly-resolution-72305-including-follow-up-to-and-review-and-implementation-o/'>Statement in context</a>
Uruguay,for,"<p> We address the problem as a public health issue, putting people’s well-being at the center, through a comprehensive vision of drug policies, with a cross-sectional perspective on human and gender rights, which will certainly bring us closer to the implementation of the sustainable development goals of the 2030 Agenda. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
