title,category,description
Denmark,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Dominican Republic,for,<p> Safety of citizens and human rights are most important. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Ecuador,for,"<p>We decisively promoted a common, perhaps of public policy against drugs including all official institutions, private and public sector, as well as protecting human rights, especially of those who have committed drug related crimes. </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>"
Estonia,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Finland,for,"<p> Finland believes all drug policies have to be implemented comprehensively while respecting human rights, health, wellbeing, security of people. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
France,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Georgia,for,<p> We support public health and human rights based approach. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Germany,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Greece,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Hungary,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Indonesia,for,"<p>Great importance to the promotion of human rights especially women and children. Care and social care should be part of a promotion and protection of human rights and should be balanced, including the families of drug users.</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Iraq,for,"<p> Human rights need to be respected and we need to have measures to rehabilitate, provide healthcare for drug users and educate around drugs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Ireland,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Italy,for,<p> Fighting drugs should not come at the cost of human rights and personal freedoms. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Jamaica,for,"<p>We have taken a more human rights-centred approach to drug policy, including alternatives to incarceration for minor drug offences.</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Latvia,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Lithuania,for,<p> Drug policies should confirm with human rights. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Luxembourg,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Malta,for,<p> All approaches must respect fundamental freedoms and human rights and we welcome the exchange of best practices in this endeavour. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Mexico,for,"<p> We are committed to its deep revision, to move towards a more comprehensive public policy and based on the pillars of health, human rights, social justice, peace and sustainable development. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Nepal,for,"<p> Nepal, while aiming for a society free of drug abuse, is equally mindful of its links with human rights and dignity of all individuals. </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>"
Netherlands,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
New Zealand,for,<p> UNGASS is a milestone that expands on human rights matters and takes a holistic approach. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Norway,for,"<p>Drug control must focus on human rights, public and sustainable development: as a society we must agree on the basic assumption that drug policy is about human rights and human beings and relieving the negative effects of the drug trade. We should recognise public health and human rights as essential to address the problems of drugs.</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Poland,for,"<p> Our approach to drug problems is invariably founded on the respect of human rights, rule of law, scientific evidence-based responses. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Portugal,for,<p> Members States need to ensure drug control is anchored in human rights to protect people. </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Qatar,for,"<p> Our antidrug committee implements a comprehensive strategy to implement prevention, protection of society, rule of law and human rights. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Romania,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Serbia,for,"<p> Balanced, multidisciplinary and scientific evidence-based drug policy based in human rights and gender equality, by protecting health and increasing security of individuals in society. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Slovakia,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Slovenia,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Spain,for,<p>Our drugs regulation is based on human rights.</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Sweden,for,<p> We support an integrated approach respecting human rights whilst aiming to reduce supply and demand. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Switzerland,for,"<p> As a member of the CND, on many occasions we have expressed our commitment to human rights when implementing drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
United Kingdom,for,<p> Human rights violations continue to be committed in the name of drug control. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Uruguay,for,"<p> Uruguay reiterates what is expressed in the resulting document of UNGASS 2016, in the sense that, when formulating and implementing drug policies, all human rights, fundamental freedoms and dignity inherent in all persons and the rule of law, based on the principles present in the Charter of the United Nations, the Universal Declaration of Human Rights and other relevant legal instruments in the field of human rights.  </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Venezuela,for,"<p> Fully respecting human rights, fundamental freedoms and sovereignty of states.   </p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>"
